"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1545078";"";"";"Small molecule";"";"407.92";"16";"19";"2.59";"69.72";"4";"1";"0";"5";"N";"0.83";"11.94";"5.71";"2.52";"2.52";"2";"MOL";"-1";"27";"6";"1";"0";"407.1070";"-2.38";"NEUTRAL";"C19H22ClN3O3S";"CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCc3ccccc3C2)c1";"NSBIQDPNYPJSLY-UHFFFAOYSA-N"
"CHEMBL241659";"";"";"Small molecule";"";"518.13";"3";"3";"6.47";"35.58";"4";"1";"2";"9";"N";"0.26";"None";"7.97";"6.61";"5.94";"4";"MOL";"-1";"36";"4";"1";"2";"517.1955";"-1.62";"NEUTRAL";"C30H32ClN3OS";"O=C(NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)c1cc2ccccc2s1";"PKGJBHXJYDGBET-UHFFFAOYSA-N"
"CHEMBL4585243";"BAY-7598";"";"Unknown";"";"505.57";"458";"623";"3.60";"120.61";"8";"1";"1";"9";"N";"0.44";"3.46";"None";"4.51";"1.13";"3";"MOL";"-1";"37";"9";"1";"1";"505.2213";"-0.61";"ACID";"C28H31N3O6";"O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1C(=O)c1ccc(OCCC2CCOCC2)cc1";"ZGBAPSHWPBXEKN-OPHFCASCSA-N"
"CHEMBL201270";"";"";"Small molecule";"";"433.56";"3";"7";"3.21";"62.63";"6";"1";"0";"9";"N";"0.53";"None";"7.94";"2.99";"2.33";"3";"MOL";"-1";"32";"7";"1";"0";"433.2478";"-1.86";"NEUTRAL";"C25H31N5O2";"COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-n3ccnc3)cc2)CC1";"NTASTGHPPLINPW-UHFFFAOYSA-N"
"CHEMBL4638406";"BAY-3153";"";"Unknown";"";"506.43";"45";"54";"3.45";"65.48";"6";"1";"1";"5";"N";"0.67";"None";"None";"3.72";"3.72";"2";"MOL";"-1";"34";"7";"1";"1";"505.1535";"-0.81";"NEUTRAL";"C25H29Cl2N3O4";"CCOc1cc(N2C3COCC2CN(C(=O)[C@H]2C[C@H](O)CN2c2ccc(Cl)cc2)C3)ccc1Cl";"LZSPYTNDRPEZBK-OXYJHPMESA-N"
"CHEMBL4584981";"NVS-MALT1-C";"";"Unknown";"";"574.03";"446";"559";"4.72";"105.90";"8";"1";"1";"7";"N";"0.44";"None";"None";"2.61";"2.61";"3";"MOL";"-1";"38";"9";"1";"1";"573.1424";"-1.39";"NEUTRAL";"C24H27ClF3N5O4S";"CO[C@@H](C)c1c(Nc2ccc([C@@H](N(C)C(=O)C3CCS(=O)(=O)CC3)C(F)(F)F)cc2)cnc2cc(Cl)nn12";"NVGROBHDOYRPAN-RCDICMHDSA-N"
"CHEMBL116448";"";"";"Small molecule";"";"415.40";"15";"15";"3.72";"40.62";"3";"0";"0";"5";"N";"0.74";"None";"8.80";"3.48";"2.06";"1";"MOL";"-1";"24";"4";"0";"0";"414.0977";"-1.78";"BASE";"C18H27BrN2O2S";"CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(Br)c2)CC1";"JBIWUVRCMUOUNK-QGZVFWFLSA-N"
"CHEMBL4100634";"";"";"Small molecule";"";"370.58";"1";"1";"6.52";"29.46";"2";"1";"1";"7";"N";"0.44";"None";"None";"6.44";"6.44";"1";"MOL";"-1";"27";"2";"1";"1";"370.2872";"1.55";"NEUTRAL";"C25H38O2";"CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@@H]21";"FYHIVHSWDVHSCA-FCHUYYIVSA-N"
"CHEMBL2062861";"";"";"Small molecule";"";"376.54";"4";"6";"3.95";"26.71";"3";"1";"0";"5";"N";"0.86";"None";"9.80";"3.55";"0.91";"2";"MOL";"-1";"28";"3";"1";"0";"376.2515";"0.15";"BASE";"C25H32N2O";"OC[C@@H]1[C@@H]2CN(Cc3ccccc3)[C@@H](c3ccccc3)[C@@H]2[C@H]1N1CCCCC1";"ZYXIICVCCTVXCC-QVXKZJQXSA-N"
"CHEMBL4780458";"";"";"Unknown";"";"457.42";"449";"563";"4.04";"106.02";"7";"1";"0";"6";"N";"0.60";"10.98";"1.98";"2.43";"2.43";"3";"MOL";"-1";"33";"9";"1";"0";"457.1474";"-1.50";"NEUTRAL";"C21H18F3N7O2";"O=C(Nc1cccnn1)N1CC(C/C=C/c2cncc(Oc3ccc(C(F)(F)F)cn3)n2)C1";"WBFGOFIEIRLCBO-DAFODLJHSA-N"
"CHEMBL4466055";"";"";"Unknown";"";"505.73";"3";"3";"5.75";"46.42";"7";"0";"2";"9";"N";"0.27";"None";"9.47";"5.36";"3.31";"3";"MOL";"-1";"36";"6";"0";"2";"505.2875";"-1.55";"BASE";"C29H39N5OS";"COc1ccccc1N1CCC2(CCN(CCCCSc3nnc(-c4ccccc4)n3C)CC2)CC1";"IMPOGCXTOZKPHA-UHFFFAOYSA-N"
"CHEMBL4848199";"";"";"Unknown";"";"366.46";"4";"5";"3.03";"50.80";"4";"1";"0";"6";"N";"0.80";"None";"6.64";"2.94";"2.87";"2";"MOL";"-1";"27";"5";"1";"0";"366.1943";"-0.44";"NEUTRAL";"C22H26N2O3";"O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccccc1";"CDTGPXQJMIHKOA-TZIWHRDSSA-N"
"CHEMBL4552354";"BI 3017";"";"Unknown";"";"407.43";"449";"561";"1.30";"125.99";"7";"2";"0";"5";"N";"0.65";"8.22";"2.22";"0.57";"0.51";"3";"MOL";"-1";"30";"10";"2";"0";"407.1706";"-1.41";"NEUTRAL";"C20H21N7O3";"Cc1nccc(COC(=O)N2C[C@@H]3[C@@H](CNC(=O)c4ccc5[nH]nnc5c4)[C@@H]3C2)n1";"ZDITZGRCUFFQRS-PHZGNYQRSA-N"
"CHEMBL91229";"";"";"Small molecule";"";"361.49";"4";"4";"4.44";"41.29";"4";"1";"0";"5";"N";"0.73";"13.28";"9.08";"4.73";"3.05";"3";"MOL";"-1";"27";"4";"1";"0";"361.2154";"-0.94";"BASE";"C23H27N3O";"Cc1c(-c2ccccc2)nc(O)n1C1CCN(CCc2ccccc2)CC1";"GIYXEZZPINFSPU-UHFFFAOYSA-N"
"CHEMBL4856059";"";"";"Unknown";"";"360.49";"9";"23";"2.34";"118.42";"4";"4";"0";"6";"N";"0.36";"12.15";"9.66";"1.84";"0.06";"2";"MOL";"-1";"25";"7";"6";"1";"360.1732";"-1.23";"BASE";"C17H24N6OS";"Cc1nc(N)sc1CCCN/C(N)=N/C(=O)N[C@H](C)c1ccccc1";"QTIAXUAWMLBIGP-LLVKDONJSA-N"
"CHEMBL4876799";"";"";"Unknown";"";"338.48";"7";"15";"1.78";"118.42";"4";"4";"0";"6";"N";"0.36";"13.09";"9.66";"1.76";"-0.03";"1";"MOL";"-1";"23";"7";"6";"1";"338.1889";"-0.90";"BASE";"C15H26N6OS";"CCCCCCNC(=O)/N=C(\N)NC1CCc2nc(N)sc2C1";"FZTHGRYFMPGYHV-UHFFFAOYSA-N"
"CHEMBL4793161";"";"";"Unknown";"";"428.91";"9";"10";"6.74";"41.13";"1";"2";"1";"8";"N";"0.38";"13.55";"None";"6.76";"6.76";"3";"MOL";"-1";"30";"3";"2";"1";"428.1467";"-1.21";"NEUTRAL";"C24H23ClF2N2O";"O=C(NCCCCC(c1ccc(F)cc1)c1ccc(F)cc1)Nc1ccc(Cl)cc1";"RLPNAPFXMFOSJC-UHFFFAOYSA-N"
"CHEMBL3084511";"";"";"Small molecule";"";"408.57";"2";"2";"4.91";"48.49";"4";"2";"0";"5";"N";"0.59";"13.96";"9.09";"3.98";"2.29";"3";"MOL";"-1";"29";"4";"2";"0";"408.1871";"-0.44";"BASE";"C24H28N2O2S";"COc1ccc2[nH]cc(CN3[C@@H]4CC[C@H]3C[C@](O)(c3ccc(SC)cc3)C4)c2c1";"KNKGKWINGHKSAD-HROJSSOGSA-N"
"CHEMBL212160";"";"";"Small molecule";"";"388.48";"8";"9";"2.85";"50.83";"7";"0";"0";"5";"N";"0.53";"None";"6.30";"2.54";"2.50";"4";"MOL";"-1";"29";"7";"0";"0";"388.2012";"-2.29";"NEUTRAL";"C22H24N6O";"COc1ccccc1N1CCN(Cc2cn3c(-n4cccn4)cccc3n2)CC1";"BZHJMSJFFNOURP-UHFFFAOYSA-N"
"CHEMBL3287281";"";"";"Small molecule";"";"464.37";"4";"4";"5.02";"48.72";"4";"1";"1";"7";"N";"0.53";"None";"5.70";"4.41";"4.40";"3";"MOL";"-1";"31";"5";"1";"1";"463.1230";"-1.43";"NEUTRAL";"C23H24Cl2FN3O2";"O=C(NCCC(CF)N1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1";"QBRAQPXCJIBXIU-UHFFFAOYSA-N"
"CHEMBL3775097";"";"";"Small molecule";"";"446.58";"3";"3";"2.84";"86.76";"9";"0";"0";"7";"N";"0.40";"None";"9.15";"2.10";"0.35";"3";"MOL";"-1";"32";"8";"0";"0";"446.2001";"-2.07";"BASE";"C23H26N8S";"Cn1c(SCCCN2CC3CCN(c4ccc(C#N)cc4)C3C2)nnc1-c1cnccn1";"ZKVBATRJUREUMS-UHFFFAOYSA-N"
"CHEMBL38262";"";"";"Small molecule";"";"349.48";"3";"3";"3.30";"35.58";"3";"1";"0";"4";"N";"0.92";"13.91";"8.02";"3.70";"2.99";"2";"MOL";"-1";"26";"4";"1";"0";"349.2154";"-0.94";"NEUTRAL";"C22H27N3O";"Cc1ccc(N2CCN(CCC3NC(=O)c4ccccc43)CC2)cc1C";"WQEPZBNLBWDIRZ-UHFFFAOYSA-N"
"CHEMBL4867978";"";"";"Unknown";"";"467.59";"14";"51";"4.49";"50.97";"6";"0";"0";"9";"N";"0.43";"None";"8.76";"3.83";"2.25";"3";"MOL";"-1";"34";"6";"0";"0";"467.2584";"-1.40";"BASE";"C27H34FN3O3";"Fc1ccc2c(C3CCN(CCCOc4ccc(CCN5CCOCC5)cc4)CC3)noc2c1";"BTEMXIHCAGOPHX-UHFFFAOYSA-N"
"CHEMBL4857597";"";"";"Unknown";"";"364.49";"8";"16";"3.11";"48.47";"4";"1";"0";"6";"N";"0.80";"None";"8.22";"3.75";"2.87";"2";"MOL";"-1";"27";"5";"1";"0";"364.2263";"-1.50";"NEUTRAL";"C22H28N4O";"O=C1CCc2cc(CCCCN3CCN(c4ccccn4)CC3)ccc2N1";"NWOBFMIIGQBMFP-UHFFFAOYSA-N"
"CHEMBL4865907";"";"";"Unknown";"";"466.60";"10";"10";"4.36";"44.98";"6";"0";"0";"8";"N";"0.46";"None";"8.79";"3.61";"1.64";"3";"MOL";"-1";"34";"6";"0";"0";"466.2744";"-1.49";"BASE";"C27H35FN4O2";"CN1CCN(Cc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1";"MVVKKFHFADVKMW-UHFFFAOYSA-N"
"CHEMBL351722";"";"";"Small molecule";"";"424.55";"3";"3";"4.80";"69.02";"4";"1";"0";"5";"N";"0.64";"None";"7.78";"4.34";"3.81";"3";"MOL";"-1";"32";"5";"1";"0";"424.2263";"-1.41";"NEUTRAL";"C27H28N4O";"N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2";"JLKITJMRRRZCIH-UILWBTOOSA-N"
"CHEMBL157035";"";"";"Small molecule";"";"486.49";"3";"3";"5.09";"29.95";"4";"1";"1";"8";"N";"0.42";"10.40";"9.29";"5.97";"3.91";"2";"MOL";"-1";"33";"4";"1";"1";"485.2001";"-1.10";"BASE";"C27H33Cl2N3O";"C#CCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1";"PIHOPECZMJBZBU-UHFFFAOYSA-N"
"CHEMBL575169";"";"";"Small molecule";"";"521.62";"4";"5";"3.23";"118.66";"9";"1";"1";"13";"N";"0.21";"None";"7.93";"3.61";"2.97";"3";"MOL";"-1";"38";"11";"1";"2";"521.2751";"-1.87";"NEUTRAL";"C27H35N7O4";"COc1ccccc1N1CCN(CCCCNC(=O)CCCc2cn(-c3ccc([N+](=O)[O-])cc3)nn2)CC1";"GZZSYWLOQJSSSZ-UHFFFAOYSA-N"
"CHEMBL4849734";"";"";"Unknown";"";"396.49";"3";"3";"3.04";"60.03";"5";"1";"0";"7";"N";"0.73";"None";"6.64";"2.78";"2.71";"2";"MOL";"-1";"29";"6";"1";"0";"396.2049";"-0.54";"NEUTRAL";"C23H28N2O4";"COc1ccccc1C(=O)NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21";"SOKNKUMZPAEZEA-DENIHFKCSA-N"
